OccupationTitle,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Office and Administrative Support Occupations,139700,53080,-48.5,High school diploma or equivalent,None,Short-term on-the-job training
Postal Service Clerks,Office and Administrative Support Occupations,65040,53100,-48.2,High school diploma or equivalent,None,Short-term on-the-job training
Postmasters and Mail Superintendents,Management Occupations,24410,62920,-27.8,High school diploma or equivalent,1 to 5 years,Moderate-term on-the-job training
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Production Occupations,41570,61260,-14,High school diploma or equivalent,None,Long-term on-the-job training
Chemical Plant and System Operators,Production Occupations,40580,55940,-12.2,High school diploma or equivalent,None,Long-term on-the-job training
Postal Service Mail Carriers,Office and Administrative Support Occupations,315330,55160,-12,High school diploma or equivalent,None,Short-term on-the-job training
"Insurance Appraisers, Auto Damage",Business and Financial Operations Occupations,10950,57020,-7.5,Postsecondary non-degree award,None,Moderate-term on-the-job training
Chemical Equipment Operators and Tenders,Production Occupations,49020,45550,-7.5,High school diploma or equivalent,None,Moderate-term on-the-job training
Gas Plant Operators,Production Occupations,11750,59550,-6.5,High school diploma or equivalent,None,Long-term on-the-job training
Tire Builders,Production Occupations,16690,40760,-5.7,High school diploma or equivalent,None,Moderate-term on-the-job training
Millwrights,"Installation, Maintenance, and Repair Occupations",37730,49270,-4.8,High school diploma or equivalent,None,Long-term on-the-job training
"Railroad Brake, Signal, and Switch Operators",Transportation and Material Moving Occupations,23830,50430,-4.2,High school diploma or equivalent,None,Moderate-term on-the-job training
"Drafters, All Other",Architecture and Engineering Occupations,16070,45600,-4,Associate's degree,None,None
Food Service Managers,Management Occupations,183940,48110,-3.3,High school diploma or equivalent,1 to 5 years,None
Power Distributors and Dispatchers,Production Occupations,11600,70700,-3,High school diploma or equivalent,None,Long-term on-the-job training
Air Traffic Controllers,Transportation and Material Moving Occupations,23580,113540,-2.9,Associate's degree,None,Long-term on-the-job training
Power Plant Operators,Production Occupations,39980,65280,-2.5,High school diploma or equivalent,None,Long-term on-the-job training
Tool and Die Makers,Production Occupations,70320,46650,-2.3,High school diploma or equivalent,None,Long-term on-the-job training
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry Occupations",18920,42600,-1.5,High school diploma or equivalent,1 to 5 years,None
"Title Examiners, Abstractors, and Searchers",Legal Occupations,49760,40760,-1.4,High school diploma or equivalent,None,Short-term on-the-job training
Chefs and Head Cooks,Food Preparation and Serving Related Occupations,90300,42350,-0.8,High school diploma or equivalent,1 to 5 years,None
"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal Occupations,14460,85190,-0.1,Bachelor's degree,1 to 5 years,Moderate-term on-the-job training
"Control and Valve Installers and Repairers, Except Mechanical Door","Installation, Maintenance, and Repair Occupations",42450,49600,-0.1,High school diploma or equivalent,None,Moderate-term on-the-job training
"Plant and System Operators, All Other",Production Occupations,11740,53200,-0.1,High school diploma or equivalent,None,Long-term on-the-job training
Fashion Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",16010,64690,0.2,High school diploma or equivalent,None,Long-term on-the-job training
"Media and Communication Equipment Workers, All Other","Arts, Design, Entertainment, Sports, and Media Occupations",14690,69160,0.3,High school diploma or equivalent,None,Moderate-term on-the-job training
Continuous Mining Machine Operators,Construction and Extraction Occupations,12280,50620,0.4,High school diploma or equivalent,None,Moderate-term on-the-job training
Electro-Mechanical Technicians,Architecture and Engineering Occupations,16620,51220,0.5,Associate's degree,None,None
Editors,"Arts, Design, Entertainment, Sports, and Media Occupations",98990,52380,0.6,Bachelor's degree,1 to 5 years,None
Sound Engineering Technicians,"Arts, Design, Entertainment, Sports, and Media Occupations",14930,46750,0.6,Postsecondary non-degree award,None,Short-term on-the-job training
"Career/Technical Education Teachers, Secondary School","Education, Training, and Library Occupations",88210,54660,1.1,Bachelor's degree,1 to 5 years,Internship/residency
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Installation, Maintenance, and Repair Occupations",67220,52320,1.1,Postsecondary non-degree award,None,Long-term on-the-job training
Agricultural Inspectors,"Farming, Fishing, and Forestry Occupations",13780,41390,1.5,Bachelor's degree,None,Moderate-term on-the-job training
Electrical and Electronics Engineering Technicians,Architecture and Engineering Occupations,150020,56900,1.9,Associate's degree,None,None
Rail-Track Laying and Maintenance Equipment Operators,Construction and Extraction Occupations,15590,45000,1.9,High school diploma or equivalent,None,Moderate-term on-the-job training
First-Line Supervisors of Production and Operating Workers,Production Occupations,559350,53670,1.9,Postsecondary non-degree award,1 to 5 years,None
"Camera Operators, Television, Video, and Motion Picture","Arts, Design, Entertainment, Sports, and Media Occupations",16270,40170,2.1,Bachelor's degree,None,Moderate-term on-the-job training
First-Line Supervisors of Police and Detectives,Protective Service Occupations,102040,77890,2.1,High school diploma or equivalent,1 to 5 years,Moderate-term on-the-job training
"Electrical and Electronics Installers and Repairers, Transportation Equipment","Installation, Maintenance, and Repair Occupations",14410,49810,2.1,Postsecondary non-degree award,None,Long-term on-the-job training
"Legal Support Workers, All Other",Legal Occupations,44720,52390,2.6,High school diploma or equivalent,None,Short-term on-the-job training
Compensation and Benefits Managers,Management Occupations,24580,92290,2.8,Bachelor's degree,1 to 5 years,None
Detectives and Criminal Investigators,Protective Service Occupations,111930,71770,2.9,High school diploma or equivalent,1 to 5 years,Moderate-term on-the-job training
"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations Occupations,263810,59320,3,High school diploma or equivalent,None,Long-term on-the-job training
"Eligibility Interviewers, Government Programs",Office and Administrative Support Occupations,120610,41060,3.1,Associate's degree,None,Moderate-term on-the-job training
Architectural and Civil Drafters,Architecture and Engineering Occupations,85740,47250,3.2,Associate's degree,None,None
Legal Secretaries,Office and Administrative Support Occupations,220680,42460,3.5,High school diploma or equivalent,None,Moderate-term on-the-job training
"Pump Operators, Except Wellhead Pumpers",Transportation and Material Moving Occupations,12150,43870,3.7,Less than high school,None,Moderate-term on-the-job training
Chemists,"Life, Physical, and Social Science Occupations",80040,69760,3.8,Bachelor's degree,None,None
Mechanical Engineering Technicians,Architecture and Engineering Occupations,44760,51350,3.9,Associate's degree,None,None
First-Line Supervisors of Non-Retail Sales Workers,Sales and Related Occupations,235630,70520,4,High school diploma or equivalent,More than 5 years,None
Respiratory Therapy Technicians,Healthcare Practitioners and Technical Occupations,13940,46350,4.1,Associate's degree,None,Moderate-term on-the-job training
Chief Executives,Management Occupations,267370,166910,4.2,Bachelor's degree,More than 5 years,None
Industrial Engineering Technicians,Architecture and Engineering Occupations,63030,49090,4.2,Associate's degree,None,None
